DecayParticle1_Name DecayParticle1_Boson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_Boson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 125.998 -4 -89 -89 b_quark 0 4.18 77.2688 -6 34 69
b_quark 0 4.18 158.277 -49 -27 148 b_quark 0 4.18 210.299 116 124 -124
tau+ 0 1.78 91.2862 -9 -80 -43 tau- 0 1.78 176.848 -26 136 110
b_quark 0 4.18 275.577 207 -180 26 b_quark 0 4.18 193.854 -128 143 27
W+ 1 80.4 175.217 0 141 -66 W- 1 80.4 117.125 22 -77 29
b_quark 0 4.18 91.5777 -78 -38 29 b_quark 0 4.18 115.773 55 85 56
W+ 1 80.4 214.103 -96 136 108 W- 1 80.4 168.921 49 -138 -25
W+ 1 80.4 136.957 -31 96 46 W- 1 80.4 201.978 -1 -133 -129
b_quark 0 4.18 126.675 -56 -38 -107 b_quark 0 4.18 207.739 147 80 123
b_quark 0 4.18 77.2494 -62 -9 -45 b_quark 0 4.18 39.0701 -34 -17 8
b_quark 0 4.18 108.547 -76 -65 42 b_quark 0 4.18 85.1262 70 40 -27
b_quark 0 4.18 87.2839 28 -24 79 b_quark 0 4.18 84.6845 -27 -61 -52
b_quark 0 4.18 198.813 -63 124 142 b_quark 0 4.18 183.62 107 -59 -137
b_quark 0 4.18 176.801 -12 176 -11 b_quark 0 4.18 109.373 -19 -80 72
W+ 1 80.4 212.664 -104 -111 125 W- 1 80.4 114.307 32 67 -33
b_quark 0 4.18 184.809 -18 102 -153 b_quark 0 4.18 72.9004 -32 -32 57
b_quark 0 4.18 255.162 153 -41 -200 b_quark 0 4.18 158.835 -111 11 113
b_quark 0 4.18 83.033 -6 21 -80 b_quark 0 4.18 103.012 -57 48 71
b_quark 0 4.18 77.5595 39 11 66 b_quark 0 4.18 87.8776 9 -30 -82
b_quark 0 4.18 177.444 -77 158 -24 b_quark 0 4.18 102.876 61 -58 -59
W+ 1 80.4 247.524 206 68 88 W- 1 80.4 171.564 -125 17 -84
b_quark 0 4.18 235.609 111 198 63 b_quark 0 4.18 199.177 -138 -141 27
b_quark 0 4.18 261.422 -200 -10 168 b_quark 0 4.18 184.909 107 78 -129
W+ 1 80.4 213.631 -167 26 103 W- 1 80.4 196.543 96 -95 -118
b_quark 0 4.18 214.484 -144 65 145 b_quark 0 4.18 175.643 72 -68 -145
W+ 1 80.4 165.222 -48 -131 -37 W- 1 80.4 139.707 2 111 -27
W+ 1 80.4 132.129 53 21 88 W- 1 80.4 152.336 -17 18 -127
b_quark 0 4.18 168.085 -133 95 -39 b_quark 0 4.18 104.396 104 4 -7
b_quark 0 4.18 193.782 -102 159 -43 b_quark 0 4.18 180.107 17 -146 104
W+ 1 80.4 300.114 -146 -232 -92 W- 1 80.4 178.186 79 134 33
W+ 1 80.4 227.73 207 -28 -42 W- 1 80.4 179.817 -150 43 -39
b_quark 0 4.18 156.695 -156 14 2 b_quark 0 4.18 63.4939 59 22 7
tau+ 0 1.78 174.021 -128 114 30 tau- 0 1.78 156.567 70 -139 -17
b_quark 0 4.18 260.642 -77 -22 248 b_quark 0 4.18 170.677 23 -78 -150
b_quark 0 4.18 102.759 73 37 -62 b_quark 0 4.18 21.5052 -6 -20 -3
b_quark 0 4.18 96.1118 -54 -60 52 b_quark 0 4.18 121.423 19 26 -117
b_quark 0 4.18 132.346 -52 -45 113 b_quark 0 4.18 134.705 -40 -12 -128
b_quark 0 4.18 213.781 -30 -207 44 b_quark 0 4.18 144.355 -16 114 -87
b_quark 0 4.18 164.206 124 73 -79 b_quark 0 4.18 204.261 -116 -93 140
tau+ 0 1.78 265.37 201 -124 121 tau- 0 1.78 142.854 -116 72 -42
b_quark 0 4.18 65.5932 0 -62 21 b_quark 0 4.18 90.6613 65 29 -56
b_quark 0 4.18 193.335 61 -78 166 b_quark 0 4.18 162.116 -92 102 -86
b_quark 0 4.18 79.8653 48 -24 -59 b_quark 0 4.18 115.098 -115 -2 -1
b_quark 0 4.18 159.444 30 72 -139 b_quark 0 4.18 164.716 67 -55 140
tau+ 0 1.78 254.307 186 128 117 tau- 0 1.78 216.509 -135 -98 -138
b_quark 0 4.18 154.258 53 -115 -88 b_quark 0 4.18 123.14 -111 53 -4
b_quark 0 4.18 108.035 90 -55 -23 b_quark 0 4.18 150.128 -26 89 118
b_quark 0 4.18 88.309 56 63 -26 b_quark 0 4.18 150.464 -125 -74 39
W+ 1 80.4 206.887 175 68 33 W- 1 80.4 171.567 -139 -59 -13
b_quark 0 4.18 158.74 13 -154 -36 b_quark 0 4.18 154.75 -76 55 123
b_quark 0 4.18 157.412 -156 -19 -8 b_quark 0 4.18 86.1364 61 9 60
b_quark 0 4.18 129.397 -30 75 101 b_quark 0 4.18 129.168 -5 -109 -69
W+ 1 80.4 231.726 -118 165 -78 W- 1 80.4 150.563 19 -90 88
b_quark 0 4.18 246.636 198 -82 -122 b_quark 0 4.18 157.935 -126 5 95
b_quark 0 4.18 128.757 26 78 99 b_quark 0 4.18 70.3027 60 10 -35
b_quark 0 4.18 106.016 -1 105 -14 b_quark 0 4.18 140.383 -57 -96 -85
W+ 1 80.4 179.898 127 97 19 W- 1 80.4 191.578 -141 -94 -39
b_quark 0 4.18 173.455 8 167 46 b_quark 0 4.18 144.234 -9 -143 16
b_quark 0 4.18 82.7495 -63 19 -50 b_quark 0 4.18 64.6488 60 11 21
Z 1 91.2 178.119 52 -16 -143 Z 1 91.2 170.371 -39 -12 138
b_quark 0 4.18 85.2495 -3 -29 -80 b_quark 0 4.18 114.077 -90 -60 36
b_quark 0 4.18 257.852 235 -66 83 b_quark 0 4.18 144.922 -137 46 10
W+ 1 80.4 172.143 20 -100 -113 W- 1 80.4 178.522 -89 67 114
b_quark 0 4.18 230.609 -119 -79 -181 b_quark 0 4.18 215.832 77 139 146
b_quark 0 4.18 115.098 -94 37 -55 b_quark 0 4.18 146.722 130 -11 67
b_quark 0 4.18 124.754 92 79 29 b_quark 0 4.18 221.32 -110 -144 -127
b_quark 0 4.18 130.409 -58 20 115 b_quark 0 4.18 180.243 94 -45 -147
Z 1 91.2 281.241 233 71 -107 Z 1 91.2 220.743 -135 24 147
b_quark 0 4.18 54.0136 14 0 -52 b_quark 0 4.18 117.075 6 78 87
b_quark 0 4.18 158.153 -81 125 -53 b_quark 0 4.18 140.654 101 -27 94
Z 1 91.2 215.447 -20 -62 -184 Z 1 91.2 214.365 5 143 131
W+ 1 80.4 218.317 -22 85 183 W- 1 80.4 190.35 47 -98 -134
b_quark 0 4.18 202.964 30 26 199 b_quark 0 4.18 126.089 26 -47 -114
b_quark 0 4.18 117.671 -98 16 63 b_quark 0 4.18 186.278 129 -85 -104
b_quark 0 4.18 64.7956 30 -16 -55 b_quark 0 4.18 128.33 -49 19 117
b_quark 0 4.18 198.543 -167 83 -68 b_quark 0 4.18 168.741 126 -96 58
b_quark 0 4.18 238.135 -21 -225 -75 b_quark 0 4.18 186.342 -11 132 131
b_quark 0 4.18 141.034 -36 -44 129 b_quark 0 4.18 200.416 112 94 -137
b_quark 0 4.18 133.83 -54 39 116 b_quark 0 4.18 179.629 150 -82 -55
b_quark 0 4.18 300.111 -126 187 198 b_quark 0 4.18 195.897 82 -145 -103
b_quark 0 4.18 258.268 84 -227 90 b_quark 0 4.18 205.454 -136 127 -87
tau+ 0 1.78 134.463 -88 -27 -98 tau- 0 1.78 107.076 45 -34 91
b_quark 0 4.18 187.9 132 93 -96 b_quark 0 4.18 162.661 -44 -104 117
b_quark 0 4.18 225.083 60 -97 -194 b_quark 0 4.18 152.209 25 5 150
W+ 1 80.4 176.8 -25 -155 12 W- 1 80.4 107.866 -19 61 -33
b_quark 0 4.18 235.691 -43 -28 -230 b_quark 0 4.18 175.984 30 98 143
b_quark 0 4.18 198.095 -68 -54 178 b_quark 0 4.18 196.582 145 31 -129
b_quark 0 4.18 212.693 -116 -9 -178 b_quark 0 4.18 155.777 68 5 140
W+ 1 80.4 161.056 -33 131 35 W- 1 80.4 132.779 86 -53 -31
b_quark 0 4.18 143.023 -135 2 47 b_quark 0 4.18 88.9858 88 11 -6
b_quark 0 4.18 248.213 100 146 174 b_quark 0 4.18 112.158 -49 -60 -81
Z 1 91.2 189.226 -116 97 -68 Z 1 91.2 118.298 75 -6 -4
b_quark 0 4.18 224.443 120 -86 -169 b_quark 0 4.18 183.822 -144 34 109
b_quark 0 4.18 127.509 -36 -119 -28 b_quark 0 4.18 164.983 128 57 87
b_quark 0 4.18 179.776 134 -45 111 b_quark 0 4.18 131.326 -70 80 -77
b_quark 0 4.18 70.3312 16 68 -7 b_quark 0 4.18 93.7735 10 24 90
b_quark 0 4.18 214.829 17 71 202 b_quark 0 4.18 135.88 -9 26 -133
W+ 1 80.4 202.334 17 -75 -169 W- 1 80.4 193.972 64 139 88
tau+ 0 1.78 121.343 -86 62 -59 tau- 0 1.78 188.208 117 -147 11
b_quark 0 4.18 197.087 -129 -69 -132 b_quark 0 4.18 81.6178 58 -24 52
b_quark 0 4.18 245.714 -183 90 -137 b_quark 0 4.18 212.738 146 -100 118
b_quark 0 4.18 116.015 -48 23 -103 b_quark 0 4.18 47.7124 9 33 33
b_quark 0 4.18 97.2495 60 52 56 b_quark 0 4.18 172.831 -106 11 -136
tau+ 0 1.78 295.786 89 -179 -218 tau- 0 1.78 193.021 -67 107 146
W+ 1 80.4 220.42 -99 -152 -96 W- 1 80.4 187.804 14 107 131
b_quark 0 4.18 169.857 85 -147 0 b_quark 0 4.18 150.793 -112 96 31
b_quark 0 4.18 186.214 63 8 -175 b_quark 0 4.18 163.054 -126 -33 98
b_quark 0 4.18 235.806 -19 199 125 b_quark 0 4.18 164.431 -6 -122 -110
b_quark 0 4.18 85.0204 -75 31 -25 b_quark 0 4.18 122.436 19 -34 116
b_quark 0 4.18 219.188 184 97 69 b_quark 0 4.18 185.773 -127 -59 -122
tau+ 0 1.78 211.764 196 5 80 tau- 0 1.78 130.488 -96 8 -88
b_quark 0 4.18 149.862 -129 -18 74 b_quark 0 4.18 77.1976 54 -55 1
W+ 1 80.4 162.487 119 -76 1 W- 1 80.4 190.731 -144 23 -93
W+ 1 80.4 231.07 157 122 86 W- 1 80.4 189.771 -90 -43 -140
b_quark 0 4.18 112.9 -8 109 -28 b_quark 0 4.18 131.105 -31 -107 -69
b_quark 0 4.18 147.345 -50 -53 128 b_quark 0 4.18 102.74 69 -1 -76
b_quark 0 4.18 97.1724 7 76 60 b_quark 0 4.18 142.648 41 -31 -133
b_quark 0 4.18 159.698 -3 -129 -94 b_quark 0 4.18 125.074 12 121 29
b_quark 0 4.18 129.284 124 -5 -36 b_quark 0 4.18 95.5587 -76 53 23
b_quark 0 4.18 202.001 101 -45 169 b_quark 0 4.18 165.204 -55 115 -105
W+ 1 80.4 226.093 -151 123 82 W- 1 80.4 206.054 107 -64 -143
b_quark 0 4.18 209.36 145 -17 150 b_quark 0 4.18 152.825 -108 93 -55
tau+ 0 1.78 182.53 -152 -3 -101 tau- 0 1.78 147.048 88 -76 90
W+ 1 80.4 174.462 142 40 47 W- 1 80.4 132.503 -90 -47 -28
b_quark 0 4.18 189.099 164 94 -3 b_quark 0 4.18 130.834 -74 -82 -70
b_quark 0 4.18 191.281 -21 171 -83 b_quark 0 4.18 100.928 -43 -72 56
b_quark 0 4.18 186.918 -126 -82 111 b_quark 0 4.18 169.524 134 102 -19
W+ 1 80.4 228.793 77 -52 -193 W- 1 80.4 132.22 -3 -20 103
b_quark 0 4.18 153.116 137 13 -67 b_quark 0 4.18 109.057 -76 60 50
b_quark 0 4.18 145.033 36 64 125 b_quark 0 4.18 158.254 -75 -69 -121
b_quark 0 4.18 278.759 183 -210 -10 b_quark 0 4.18 176.512 -93 131 -73
b_quark 0 4.18 241.618 188 83 -127 b_quark 0 4.18 108.367 -91 9 58
b_quark 0 4.18 181.117 113 -116 -81 b_quark 0 4.18 136.537 -78 110 21
b_quark 0 4.18 91.3317 -52 52 54 b_quark 0 4.18 125.453 113 -6 -54
b_quark 0 4.18 175.56 80 -50 -148 b_quark 0 4.18 133.561 -6 19 132
b_quark 0 4.18 216.091 6 -79 201 b_quark 0 4.18 120.779 -7 -11 -120
b_quark 0 4.18 162.863 49 -141 -65 b_quark 0 4.18 138.645 28 105 86
tau+ 0 1.78 228.906 -155 -89 143 tau- 0 1.78 194.515 122 95 -118
W+ 1 80.4 196.863 47 29 -171 W- 1 80.4 140.72 13 20 113
b_quark 0 4.18 76.1674 70 -10 -28 b_quark 0 4.18 84.8851 -34 -44 -64
b_quark 0 4.18 157.602 -41 72 -134 b_quark 0 4.18 140.888 98 -92 42
b_quark 0 4.18 144.092 70 -31 -122 b_quark 0 4.18 127.642 5 125 25
b_quark 0 4.18 192.802 -107 -41 -155 b_quark 0 4.18 157.716 39 110 106
W+ 1 80.4 142.391 83 -81 19 W- 1 80.4 155.85 -88 55 -84
b_quark 0 4.18 137.272 -33 131 24 b_quark 0 4.18 72.6806 -32 -65 4
W+ 1 80.4 203.885 -94 85 138 W- 1 80.4 167.911 0 -111 -97
b_quark 0 4.18 140.465 106 91 -14 b_quark 0 4.18 108.349 -81 -69 -20
b_quark 0 4.18 212.505 -184 -58 89 b_quark 0 4.18 116.711 112 6 -32
W+ 1 80.4 208.015 69 -46 173 W- 1 80.4 152.857 1 0 -130
b_quark 0 4.18 168.174 37 -36 -160 b_quark 0 4.18 104.362 -65 32 75
